question_no,type,category,tags,source_ref,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2024-gakka-13-v1,2024-gakka-13,Ａ資産の期待収益率が3.0％、Ｂ資産の期待収益率が6.0％の場合に、Ａ資産を50％、Ｂ資産を50％の割合で組み入れたポートフォリオの期待収益率は、 （   ）である。,,,,,,4.0％,4.5％,9.0％,,2,正解は2です。ポートフォリオの期待収益率は、各資産の期待収益率を組入比率で加重平均して求めます。Ａ資産3.0％×50％＋Ｂ資産6.0％×50％＝1.5％＋3.0％＝4.5％です。,2024年学科第13問（ポートフォリオの期待収益率）をベースに、収益率と組入比率だけ入れ替えた演習問題です。,Ａ資産3.0％×50％＋Ｂ資産6.0％×50％＝4.5％です。期待収益率は組入比率で加重平均します。,1:4.0％は加重平均の結果ではありません。比率50％・50％なら必ず3.0×0.5＋6.0×0.5＝4.5％です。単純平均と混同しないよう、各収益率に組入比率を掛けてから足します。;3:9.0％は3.0％と6.0％を単純に足した値です。ポートフォリオの期待収益率は収益率の合計ではなく、各資産の期待収益率に組入比率を掛けて合計する加重平均で求めます。足し算だけで終わらせないよう注意してください。,期待収益率の加重平均は「各資産の収益率×組入比率」を足し合わせます。比率の合計が100％になるよう確認してから計算しましょう。
2,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-12-v1,2025-gakka-12,"Ｙ社の株価が1,800円、１株当たり純利益が90円、１株当たり純資産（自己資本）が1,200円である場合、Ｙ社のＲＯＥは、 （   ）である。",,,,,,5％,7.5％,15％,,2,"正解は2です。ROEは、１株当たり純利益÷１株当たり純資産×100で求めます。90円÷1,200円×100＝7.5％です。株価1,800円はPERやPBRの計算で使う数値で、ROEの計算には使いません。",2025年学科第12問（ROE）をベースに、株価・純利益・純資産の数値だけ入れ替えた演習問題です。,"ROE＝90円÷1,200円×100＝7.5％です。分子は純利益、分母は自己資本（純資産）であり、株価は使いません。","1:5％は純利益を株価で割った値など、ROEの定義と異なる計算から導かれます。ROEは自己資本に対する収益性を示し、株価ではなく純資産を分母にします。;3:15％は純利益90円を純資産600円で割るなど、分母の取り違えで生じやすい誤答です。本問では純資産は1,200円なので、90÷1,200×100＝7.5％が正しい計算です。",ROEは「純利益÷純資産」。株価が文中に出てきてもROEでは使わない、という引っかけに注意してください。
3,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2025-gakka-11-v1,2025-gakka-11,"追加型株式投資信託を基準価額12,000円（１万口当たり）で１万口購入した後、最初の決算時に１万口当たり800円の収益分配金が支払われ、分配落ち後の基準価額が11,500円（１万口当たり）となった場合、その収益分配金のうち、普通分配金は（ ① ）であり、元本払戻金（特別分配金）は（ ② ）である。",,,,,,① 300円   ② 500円,① 500円   ② 300円,① 800円   ②   0円,,1,"正解は1です。分配落ち前の基準価額は11,500円＋800円＝12,300円です。個別元本12,000円を上回る300円が普通分配金、残り500円が元本払戻金（特別分配金）です。",2025年学科第11問（投資信託の分配金）をベースに、基準価額と分配金の数値だけ入れ替えた演習問題です。,"分配落ち前12,300円と個別元本12,000円の差300円が普通分配金。分配金800円の残り500円が特別分配金です。",2:①500円②300円は普通分配金と特別分配金を逆にした誤りです。個別元本を超える部分が普通分配金、超えない部分が元本払戻金（特別分配金）になる順序を確認してください。;3:①800円②0円は分配金すべてを普通分配金とみなした誤りです。分配落ち前基準価額が個別元本を上回るとは限らず、上回らない部分は特別分配金として扱います。,分配落ち後＋分配金＝分配落ち前。普通分配金は個別元本を超えた利益分、超えない分は特別分配金です。
4,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2025-gakka-16-v1,2025-gakka-16,所得税における一時所得に係る総収入金額が400万円で、その収入を得るために支出した金額が120万円である場合、一時所得の金額は（ ① ）となり、そのうち総所得金額に算入される金額は（ ② ）となる。,,,,,,① 180万円   ②  90万円,① 230万円   ② 115万円,① 280万円   ② 140万円,,2,正解は2です。一時所得の金額は、総収入金額－支出金額－特別控除50万円で求めます。400万円－120万円－50万円＝230万円です。総所得金額に算入されるのはその2分の1なので、115万円です。,2025年学科第16問（一時所得）をベースに、収入・支出の数値だけ入れ替えた演習問題です。,一時所得＝400万円－120万円－50万円＝230万円。総所得への算入は2分の1の115万円です。,1:①180万円②90万円は特別控除50万円を差し引かない、または2分の1を取らない誤りです。一時所得は必ず50万円控除後に半分だけが総所得に入ります。;3:①280万円②140万円は支出120万円を差し引かない誤りで生じやすい値です。収入を得るための支出は必ず差し引いてから50万円控除を適用します。,一時所得は「収入－支出－50万円」、総所得算入はその半分。50万円控除と2分の1の両方を忘れないこと。
5,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2024-gakka-29-v1,2024-gakka-29,貸家建付地の相続税評価額は、その自用地としての価額が２億円、借地権割合が60％、借家権割合が30％、賃貸割合が100％である場合、 （   ）となる。,,,,,,"8,000万円","1億2,000万円","1億6,400万円",,3,"正解は3です。貸家建付地の評価額は、自用地価額×(1－借地権割合×借家権割合×賃貸割合)で求めます。２億円×(1－60％×30％×100％)＝２億円×82％＝1億6,400万円です。",2024年学科第29問（貸家建付地）をベースに、自用地価額だけ入れ替えた演習問題です。,"２億円×(1－0.6×0.3×1)＝２億円×0.82＝1億6,400万円。借地権・借家権・賃貸割合を掛け合わせて控除します。","1:8,000万円は借地権割合だけを控除した自用地価額×(1－60％)のような別公式の結果です。貸家建付地では借家権割合と賃貸割合も掛け合わせる点がポイントです。本問は3つすべてを掛けます。;2:1億2,000万円は別の自用地価額（1.5億円）の計算結果に近い誤答です。本問の自用地価額は２億円なので、式に当てはめ直す必要があります。過去問の数値をそのまま選ばないこと。",貸家建付地＝自用地価額×(1－借地権割合×借家権割合×賃貸割合)。3つの割合を掛けてから控除するのを忘れないこと。
6,single,ライフプランニングと資金計画,FP3級;学科;実践演習;三答択;source:2025-gakka-01-v1,2025-gakka-01,"Ｂさんの可処分所得（年間）の金額は、下記の〈資料〉によれば、 （   ）である。

〈資料〉Ｂさんの年間収入等
給与収入　　： 950万円（給与所得 ： 720万円）
所得税・住民税 ：  80万円
社会保険料　 ： 110万円
生命保険料　 ：  15万円",,,,,,530万円,760万円,845万円,,2,正解は2です。可処分所得は、年収（給与収入）から所得税・住民税と社会保険料を差し引いて求めます。生命保険料は家計支出ですが可処分所得の計算では差し引きません。950万円－80万円－110万円＝760万円です。,2025年学科第1問（可処分所得）をベースに、収入・控除の数値だけ入れ替えた演習問題です。,可処分所得＝給与収入950万円－税80万円－社会保険料110万円＝760万円。生命保険料15万円は含めません。,1:530万円は生命保険料まで差し引いた値など、家計支出を可処分所得の控除に含めた誤りです。可処分所得は税と社会保険料のみを給与収入から引きます。保険料は家計の支出であって控除項目ではありません。;3:845万円は給与所得720万円をベースにした誤計算や、控除を一部しか引かない誤りで生じやすい値です。本問は給与収入950万円から税80万円と社保110万円を引き、760万円になります。,可処分所得＝給与収入－所得税・住民税－社会保険料。給与所得や生命保険料はこの式に入れません。
7,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-11-v1,2026-gakka-11,表面利率（クーポンレート）3％、残存期間4年の固定利付債券を額面100円当たり102円で購入した場合の最終利回り（年率・単利）は、 （   ）である。なお、税金等は考慮しないものとし、計算結果は表示単位の小数点以下第３位を四捨五入している。,,,,,,2.40％,2.45％,3.00％,,2,正解は2です。最終利回りは、{表面利率＋(額面100円－購入価格)÷残存期間}÷購入価格×100で求めます。{3円＋(100円－102円)÷4年}÷102円×100＝約2.451％となり、小数点以下第3位を四捨五入して2.45％です。,2026年学科第11問（債券の最終利回り）をベースに、利率・期間・購入価格だけ入れ替えた演習問題です。,{3＋(100－102)÷4}÷102×100≒2.451％→2.45％。償還差益・損を残存期間で割って表面利率に加え、購入価格で割ります。,1:2.40％は償還差損の按分や四捨五入の段階を誤った場合に出やすい値です。式どおり計算すると2.451％となり、小数点以下第3位を四捨五入して2.45％になります。;3:3.00％は表面利率そのもので、購入価格が額面と異なる場合の償還差益・損を反映していません。最終利回りは購入価格102円を分母にして計算します。プレミアム購入では利回りは表面利率より低くなります。,最終利回り＝{表面利率＋(100－購入価格)÷残存年数}÷購入価格×100。符号と四捨五入に注意。
8,single,金融資産運用,FP3級;学科;実践演習;三答択;source:2026-gakka-12-v1,2026-gakka-12,"下記の〈Ｚ社のデータ〉に基づいて計算したＺ社の配当性向は（ ① ）、配当利回りは（ ② ）である。

〈Ｚ社のデータ〉
株価　　　　　： 2,500円
１株当たり年間配当金：　 50円
１株当たり純利益　： 125円
１株当たり純資産　： 1,000円",,,,,,① 20％   ②  2％,① 40％   ②  2％,① 40％   ②  2.5％,,2,"正解は2です。配当性向は50円÷125円×100＝40％です。配当利回りは50円÷2,500円×100＝2％です。",2026年学科第12問（配当性向・配当利回り）をベースに数値を入れ替えた演習問題です。,"配当性向＝50÷125×100＝40％。配当利回り＝50÷2,500×100＝2％。①40％②2％が正しい組合せです。","1:①20％②2％は配当性向を純資産で割るなど、分母の取り違えで生じやすい誤りです。配当性向の分母は純利益125円であり、純資産1,000円ではありません。50÷125×100＝40％です。;3:①40％②2.5％は配当性向は正しいが配当利回りを50÷2,000などで計算した誤りです。利回りの分母は株価2,500円なので、50÷2,500×100＝2％が正しい組合せになります。",配当性向＝配当÷純利益、配当利回り＝配当÷株価。それぞれ分母が異なるので取り違えに注意。
9,single,タックスプランニング,FP3級;学科;実践演習;三答択;source:2026-gakka-16-v1,2026-gakka-16,"給与所得者が25年間勤務した会社を定年退職し、退職金2,800万円の支給を受けた場合、所得税における退職所得の金額の計算上、退職所得控除額は（   ）となる。",,,,,,"800万円＋40万円×(25年－20年)＝1,000万円","800万円＋70万円×(25年－20年)＝1,150万円","70万円×25年＝1,750万円",,2,"正解は2です。退職所得控除額は、勤続年数20年超の場合、800万円＋70万円×(勤続年数－20年)で計算します。勤続25年なので、800万円＋70万円×5年＝1,150万円です。",2026年学科第16問（退職所得控除）をベースに、勤続年数と退職金額だけ入れ替えた演習問題です。,"勤続25年（20年超）なので、800万円＋70万円×(25－20)＝1,150万円。20年以下の式は使いません。",1:40万円を乗じる式は20年以下の勤続年数向けの計算です。本問は25年勤続なので、800万円＋70万円×(年数－20年)の公式を使います。20年超かどうかを最初に確認してください。;3:70万円×25年は退職所得控除の公式ではありません。20年超は最低800万円に、超過年数×70万円を加算する形を覚えておきましょう。勤続年数に応じて式を切り替えます。,退職所得控除：20年以下は40万円×年数（最低80万円）、20年超は800万円＋70万円×(年数－20)。
10,single,相続・事業承継,FP3級;学科;実践演習;三答択;source:2026-gakka-29-v1,2026-gakka-29,"借地権（定期借地権等を除く）の目的となっている宅地の相続税評価額は、その自用地としての価額が8,000万円、借地権割合が60％である場合、原則として、 （   ）となる。",,,,,,"3,200万円","4,800万円","8,000万円",,1,"正解は1です。貸宅地の評価額は、自用地としての価額×(1－借地権割合)で求めます。8,000万円×(1－60％)＝8,000万円×40％＝3,200万円です。",2026年学科第29問（貸宅地）をベースに、自用地価額だけ入れ替えた演習問題です。,"8,000万円×(1－60％)＝3,200万円。借地権割合だけを控除し、借家権割合は貸宅地（建物なし）では使いません。","2:4,800万円は8,000万円×60％など、借地権割合の掛け方を逆にした誤りです。評価額は自用地価額から借地権分を控除し、残り（1－借地権割合）が貸宅地の評価額になります。;3:8,000万円は自用地のままの評価額で、借地権の目的地としての減額を反映していません。借地権割合60％なら、自用地価額の40％である3,200万円が評価額です。建物がない貸宅地に注意。",貸宅地（借地権の目的地）＝自用地価額×(1－借地権割合)。貸家建付地とは公式が異なるので混同しないこと。
